parameters,shrinkage_mode,shrinkage_mean,shrinkage_condDist
r,3.32089,3.2248,-13.3849
K,82.6094,87.9425,-3.49275
p,95.1209,82.4571,5.29223
T50,69.2514,86.378,3.66728
h,63.4861,77.2691,-6.97812
l,14.8143,5.11291,-18.7775
delta_ef,90.8067,91.1048,10.1372
delta_m,-7.67107,-6.41651,7.44786
kappa,81.4292,89.1952,5.76217
Cef50,32.7188,58.2309,-12.9365
q,98.2064,97.2775,-9.54818
T0,-6.03126,-12.6516,0.135304
Cef0,2.94887,5.35554,2.19096
Cm0,87.5343,83.3543,0.263584
