-0.024154589371981672, -0.018018018018018722, 0, P1
0, 1.7837837837837824, 0, P2
0, 1.1351351351351369, 0, P3
7.971014492753625, 25.351351351351347, 0, P4
0, 1.2072072072072046, 0, P5
1.9806763285024171, -0.018018018018018722, 1, P1
8.985507246376812, 7.513513513513509, 1, P2
7.971014492753625, 10.936936936936934, 1, P3
15.024154589371982, 13.63963963963964, 1, P4
7.9951690821256065, 3.009009009009006, 1, P5
8.96135265700483, 0.7747747747747766, 2, P1
15.000000000000004, 7.801801801801801, 2, P2
15.000000000000004, 2.828828828828833, 2, P3
22.004830917874397, 10.684684684684683, 2, P4
15.000000000000004, 10.576576576576578, 2, P5
11.014492753623191, 1.1711711711711672, 3, P1
20.000000000000004, 4.126126126126131, 3, P2
20.99033816425121, 6.612612612612608, 3, P3
37.0048309178744, 8.990990990990987, 3, P4
14.009661835748794, 2.756756756756758, 4, P1
28.019323671497585, 1.9279279279279251, 4, P3
