rep,id,rho,K,kappa1,kappa2,theta,X0,Y0
5,5,0.0921367,1.00011e+09,5.98726e-09,2.98475e-11,9.99584e-06,1.30018e+08,6.99396e+06
6,5,0.0957428,1.00005e+09,5.98584e-09,2.93843e-11,1.00008e-05,1.30049e+08,6.98232e+06
7,5,0.101589,9.9983e+08,5.99079e-09,2.85724e-11,1.00094e-05,1.30029e+08,6.98255e+06
8,5,0.0958545,1.00031e+09,5.99199e-09,2.98257e-11,9.99974e-06,1.30037e+08,6.98806e+06
9,5,0.0941241,9.9996e+08,5.98501e-09,2.92484e-11,1.0004e-05,1.30026e+08,6.97138e+06
10,5,0.0942206,9.99561e+08,5.99313e-09,2.86713e-11,9.99591e-06,1.2999e+08,6.99686e+06
1,6,0.0600539,9.99837e+08,5.98516e-09,3.21859e-11,1.00004e-05,1.30033e+08,6.95312e+06
2,6,0.0638457,1e+09,5.99287e-09,3.38563e-11,1.00013e-05,1.30048e+08,6.97512e+06
3,6,0.0598476,9.99892e+08,5.98493e-09,3.3384e-11,1.00071e-05,1.30065e+08,6.98136e+06
4,6,0.0608212,1.00011e+09,5.99281e-09,3.3324e-11,1.00045e-05,1.30021e+08,6.98212e+06
5,6,0.0614189,1.00043e+09,5.9848e-09,3.43346e-11,1.00036e-05,1.30023e+08,6.95922e+06
6,6,0.0599762,1.00018e+09,5.98935e-09,3.47049e-11,1.00022e-05,1.30022e+08,6.94894e+06
7,6,0.0618105,1.00005e+09,5.99524e-09,3.29426e-11,9.99501e-06,1.30029e+08,6.96899e+06
8,6,0.0616853,1.0002e+09,5.9823e-09,3.30325e-11,9.99884e-06,1.30008e+08,6.96545e+06
9,6,0.0597098,9.99799e+08,5.99379e-09,3.31729e-11,1.00048e-05,1.3002e+08,6.97937e+06
10,6,0.0614799,9.99893e+08,5.99242e-09,3.39221e-11,1.0005e-05,1.30023e+08,6.98263e+06
1,7,0.0501547,9.99744e+08,5.98345e-09,2.021e-11,1.0001e-05,1.30051e+08,6.96422e+06
2,7,0.0499041,9.99953e+08,5.98579e-09,1.81976e-11,9.99458e-06,1.30026e+08,6.98409e+06
3,7,0.0537778,1.00001e+09,5.9956e-09,2.36222e-11,9.998e-06,1.30043e+08,6.9697e+06
4,7,0.0514334,9.9957e+08,5.99739e-09,2.13301e-11,1.00039e-05,1.30029e+08,6.98766e+06
5,7,0.0511085,1.00014e+09,5.98161e-09,2.08547e-11,9.99961e-06,1.30049e+08,6.95562e+06
6,7,0.0487708,1.00014e+09,5.98187e-09,1.77735e-11,9.99832e-06,1.3002e+08,6.96632e+06
7,7,0.0502549,1.00031e+09,5.98566e-09,1.97765e-11,1.00019e-05,1.30037e+08,6.97483e+06
8,7,0.0509871,9.99646e+08,5.98862e-09,2.05647e-11,9.99658e-06,1.30007e+08,6.97403e+06
9,7,0.0524963,9.99845e+08,5.97914e-09,2.23286e-11,9.99441e-06,1.30025e+08,6.96381e+06
10,7,0.0512681,9.99792e+08,5.99061e-09,2.06765e-11,1.00038e-05,1.30028e+08,6.96382e+06
1,8,0.0799929,9.9974e+08,5.98349e-09,3.17813e-11,1.00025e-05,1.29992e+08,6.99489e+06
2,8,0.0820936,9.99877e+08,5.99e-09,3.13024e-11,9.99763e-06,1.30007e+08,6.9671e+06
3,8,0.0787348,9.99824e+08,5.9907e-09,3.2649e-11,9.99423e-06,1.30043e+08,7.0098e+06
4,8,0.077834,9.99964e+08,5.98625e-09,3.21859e-11,9.99733e-06,1.29982e+08,6.97338e+06
5,8,0.0832417,9.99979e+08,5.98302e-09,3.04526e-11,1.00009e-05,1.30014e+08,6.98578e+06
6,8,0.0811408,9.99699e+08,6.00398e-09,3.10351e-11,1.00105e-05,1.30038e+08,6.95978e+06
7,8,0.0770179,1.00004e+09,5.99435e-09,3.02091e-11,1.00037e-05,1.30041e+08,6.97507e+06
8,8,0.0770011,1.00025e+09,5.98581e-09,3.20521e-11,9.99319e-06,1.30015e+08,6.98505e+06
9,8,0.0767764,1.00001e+09,5.98798e-09,3.08146e-11,1.00006e-05,1.2998e+08,6.95629e+06
10,8,0.0789012,9.99871e+08,5.98711e-09,3.12038e-11,9.99647e-06,1.30014e+08,6.97278e+06
1,9,0.068207,9.99771e+08,5.98961e-09,2.87752e-11,9.99686e-06,1.30018e+08,6.96587e+06
2,9,0.0697073,1.00011e+09,5.98681e-09,2.79184e-11,1.00022e-05,1.30041e+08,6.96561e+06
3,9,0.0672961,9.99526e+08,5.98751e-09,2.88847e-11,1.00041e-05,1.30028e+08,6.99295e+06
4,9,0.0682977,9.99989e+08,5.98765e-09,2.90766e-11,9.99519e-06,1.30069e+08,6.97294e+06
5,9,0.0715254,9.99769e+08,5.99621e-09,2.85783e-11,9.9969e-06,1.30011e+08,6.97465e+06
6,9,0.0673525,1.0001e+09,5.99038e-09,2.83832e-11,9.9951e-06,1.30031e+08,6.98536e+06
7,9,0.0676307,9.99996e+08,5.98329e-09,2.86261e-11,1.00033e-05,1.30043e+08,6.98273e+06
8,9,0.0680999,9.99963e+08,5.99031e-09,2.8473e-11,9.99986e-06,1.2998e+08,6.96599e+06
9,9,0.0680738,9.99921e+08,5.99546e-09,2.80374e-11,1.0004e-05,1.30061e+08,6.98266e+06
10,9,0.0698708,9.99842e+08,5.98129e-09,2.8061e-11,9.99941e-06,1.30007e+08,6.97695e+06
1,10,0.0522437,9.99961e+08,5.99535e-09,3.61546e-11,1.00009e-05,1.30014e+08,6.98136e+06
2,10,0.0564053,1.00007e+09,5.99167e-09,3.67279e-11,1.00035e-05,1.30002e+08,6.97955e+06
3,10,0.0536804,9.99976e+08,5.99358e-09,3.44673e-11,9.99436e-06,1.30019e+08,6.9585e+06
4,10,0.0529311,1.00021e+09,5.99213e-09,3.52744e-11,9.99708e-06,1.30021e+08,6.98531e+06
5,10,0.0526119,9.99985e+08,5.99734e-09,3.61624e-11,9.99984e-06,1.30005e+08,6.97131e+06
6,10,0.0535588,9.99924e+08,5.9934e-09,3.46751e-11,9.99782e-06,1.30033e+08,6.98796e+06
7,10,0.0533697,1.00014e+09,5.99677e-09,3.59981e-11,9.99975e-06,1.30021e+08,6.98331e+06
