rep,id,eta_rho,eta_K,eta_kappa1,eta_kappa2,eta_theta,eta_X0,eta_Y0
10,5,0.489072,-0.000381514,0.000508045,-3.51455e-12,-0.000478484,-0.000241543,0.00320867
1,6,0.038675,-0.000105728,-0.00082168,0,-2.71461e-05,8.72894e-05,-0.00306232
2,6,0.0999022,5.98572e-05,0.000465941,1.6704e-12,5.87287e-05,0.000206048,9.74771e-05
3,6,0.0352341,-5.09872e-05,-0.000860224,1.19808e-12,0.000640184,0.000335157,0.000990899
4,6,0.0513703,0.000167994,0.000454444,1.13808e-12,0.000379522,-1.40487e-06,0.00110025
5,6,0.06115,0.000484148,-0.000882491,2.14873e-12,0.000295149,7.84517e-06,-0.0021855
6,6,0.0373797,0.000238359,-0.00012167,2.51905e-12,0.000150401,4.39458e-06,-0.00366327
7,6,0.0675063,0.00010271,0.000861272,7.56748e-13,-0.000567595,5.4718e-05,-0.000782436
8,6,0.0654779,0.00025367,-0.00129962,8.4662e-13,-0.000185416,-0.000102958,-0.00129107
9,6,0.0329285,-0.000143872,0.000617915,9.87026e-13,0.00041398,-1.21232e-05,0.000705777
10,6,0.0621417,-4.96513e-05,0.000389936,1.7362e-12,0.000431378,1.26101e-05,0.00117355
1,7,-0.141455,-0.000198597,-0.00110706,-1.19759e-11,3.05394e-05,0.000225609,-0.00146779
2,7,-0.146465,9.98047e-06,-0.000716103,-1.39883e-11,-0.000610842,3.35491e-05,0.00138147
3,7,-0.0717075,6.71667e-05,0.000920303,-8.56363e-12,-0.00026847,0.000163752,-0.000680688
4,7,-0.116281,-0.000372366,0.00121839,-1.08558e-11,0.000319125,5.46414e-05,0.00189244
5,7,-0.122616,0.00019928,-0.00141518,-1.13311e-11,-0.000107794,0.00021503,-0.00270235
6,7,-0.169436,0.0001992,-0.00137248,-1.44123e-11,-0.000236493,-1.16048e-05,-0.00116564
7,7,-0.139459,0.000371723,-0.000738788,-1.24093e-11,0.000119356,0.000121286,5.54694e-05
8,7,-0.124995,-0.000296758,-0.000244596,-1.16212e-11,-0.000411287,-0.000108898,-5.9782e-05
9,7,-0.095826,-9.74803e-05,-0.00182831,-9.85727e-12,-0.000627801,2.82472e-05,-0.00152588
