parameters,shrinkage_mode,shrinkage_mean,shrinkage_condDist
r,53.6796,54.7766,11.8797
K,96.8462,87.2038,8.26154
p,75.6413,72.5094,-3.27906
T50,56.3981,50.3035,4.78082
h,85.2363,85.145,9.77211
l,50.2463,54.4143,-0.174768
delta_ef,72.01,70.9856,16.8262
delta_m,45.5618,42.534,6.07128
kappa,72.352,77.6388,4.43293
Cef50,44.2042,36.4252,0.503795
q,98.871,89.0325,-9.02505
T0,58.3793,48.4933,12.9059
Cef0,95.1709,66.8072,-8.2549
Cm0,87.4021,88.7014,1.4942
