rep,id,eta_r,eta_K,eta_p,eta_T50,eta_h,eta_l,eta_delta_ef,eta_delta_m,eta_kappa,eta_Cef50,eta_q,eta_T0,eta_Cef0,eta_Cm0
7,P4,0.407841,-2.14617,0.145028,-0.0265127,-0.71859,-0.097798,-0.0869599,-0.44913,0.38601,0.691182,-3.30364,0.346777,-4.10631,2.31888
8,P4,0.206474,-0.472807,-0.0205118,-0.337336,0.100491,0.388808,0.26879,-0.20555,0.2191,0.120563,-4.13921,0.518584,2.50249,-2.45306
9,P4,0.275311,-1.06519,-0.137161,0.0479144,0.552385,0.209663,0.125407,0.781235,-0.399915,1.24363,1.51198,-0.210148,-4.87955,-0.978817
10,P4,-0.249816,-1.83717,0.206268,0.0111748,-1.84952,-0.223685,0.569352,-0.0296155,0.0375766,1.68995,-1.13068,0.164489,1.66724,-1.86987
1,P6,0.619547,-1.02542,0.0657081,-0.327239,0.117322,0.00493864,-0.716965,0.886181,-0.0507582,-0.760741,-3.51085,0.171672,0.288847,0.837199
2,P6,-0.0396672,-0.662822,0.165787,-0.613465,0.581612,0.112464,-0.25721,1.11098,0.00249326,-0.283277,-0.947262,-0.00904032,1.50594,-5.67972
3,P6,-0.359691,-0.534013,0.271902,-0.377518,-1.0641,0.204206,0.718548,0.660096,-0.0888056,-0.441029,-1.96419,0.163262,-6.29014,1.14146
4,P6,0.111033,-3.22533,0.0742099,-0.11277,-0.979148,0.343944,0.385304,0.65289,0.253584,-0.801781,-1.98654,-0.0135818,6.65162,2.90018
5,P6,0.541136,2.56098,0.015535,-0.317067,-0.509321,-0.687752,-0.023627,0.710998,0.0109306,-0.656121,1.78567,0.233339,-3.57703,-1.0872
6,P6,0.0699309,-0.536884,0.0893326,-0.44898,0.267681,0.0836826,-0.12685,0.699339,-0.000853835,-0.946466,-0.910544,-0.0898993,3.57984,0.125155
7,P6,0.573777,0.830575,0.146671,-0.14385,0.0212249,-0.10734,-0.279311,0.907792,0.00207207,-1.02307,0.654945,0.356424,-0.385455,-1.5502
8,P6,0.572647,2.62055,0.163932,0.215639,-1.26257,-0.607276,0.723486,0.516124,-0.440681,-1.26689,1.39926,0.501197,1.89671,1.68737
9,P6,0.63564,0.137057,0.0248479,-0.0413059,0.751741,0.103225,-0.214663,0.248992,0.2675,-2.09703,1.87952,0.10921,4.70662,-3.08251
10,P6,-0.0765828,-1.91751,0.160957,-0.198199,-1.01187,-0.502809,0.118162,0.627155,-0.33988,-0.369961,3.46112,-0.0476263,2.87556,-3.93468
1,P7,-0.546651,-2.90715,0.0857528,0.0260827,0.670886,-0.0783267,0.162342,0.56683,0.294523,1.42363,-0.195164,0.592181,1.59255,2.15299
2,P7,0.417557,1.744,-0.063365,-0.223745,-0.155498,-0.21291,-0.0277519,0.203766,0.0786074,-0.916755,4.34636,0.332466,2.44437,-0.165008
3,P7,0.30419,0.0965677,-0.307354,-0.270762,-0.701401,-0.419768,-0.057284,0.0937178,0.0115904,-0.642766,-3.83805,0.530645,-3.22515,1.33719
4,P7,0.298652,-0.264887,0.307842,-0.0874175,-0.448546,0.475856,-0.0440995,0.281722,-0.243422,-1.0864,-7.3052,-0.177193,-5.65821,-1.62615
5,P7,0.622827,0.107441,-0.117338,-0.117209,-0.395131,-0.67398,-0.172106,-0.416288,-0.0641037,-1.27737,-2.79398,0.0192266,-5.20416,1.5886
6,P7,0.478793,1.60613,0.0839514,-0.883539,0.577612,0.322717,0.0352797,0.453777,0.393322,-0.386946,-2.95826,0.104785,-0.494916,-4.66068
7,P7,-0.290566,-1.3837,-0.0230536,0.219408,-0.14456,-0.124574,0.440124,0.0643319,-0.204906,-0.120038,-4.34356,0.317736,4.06314,0.562098
8,P7,-0.399542,-0.64348,0.175073,-0.0622697,0.242532,0.876894,0.0171084,0.0796749,0.10637,-0.336348,2.01163,0.423082,-2.26435,0.600418
9,P7,0.119143,-3.32077,0.41357,0.0489734,-0.930374,0.209974,0.100714,0.389477,-0.162116,-1.2634,3.46792,0.252255,1.63795,-0.966004
10,P7,0.46304,-0.666961,-0.0771663,-0.454931,-0.36993,0.687682,-0.27032,0.782723,0.0423739,-0.00423296,-0.102938,-0.134792,-2.89373,3.78425
1,P8,0.418462,0.754597,-0.0198466,0.20502,-0.388146,-0.228067,-0.0641727,-1.28186,0.126579,-0.54082,2.90214,-0.351594,0.0787612,0.462088
2,P8,-0.154952,1.25028,0.188729,-0.0177799,0.208236,0.334254,0.260953,0.0463022,-0.335204,-1.57292,-2.32394,-0.150061,0.930018,-0.553143
