parameters,shrinkage_mode,shrinkage_mean,shrinkage_condDist
a,nan,nan,nan
b,nan,nan,nan
dE,nan,nan,nan
dC,5.10609,5.42277,-9.96308
g,nan,nan,nan
jE,nan,nan,nan
jC,nan,nan,nan
K,nan,nan,nan
k,nan,nan,nan
l,nan,nan,nan
mE,nan,nan,nan
mC,nan,nan,nan
qE,nan,nan,nan
qC,nan,nan,nan
s,nan,nan,nan
KT,nan,nan,nan
KE,nan,nan,nan
KC,nan,nan,nan
gamma,nan,nan,nan
T0,nan,nan,nan
E0,nan,nan,nan
C0,nan,nan,nan
M0,nan,nan,nan
